district,statewide_d_pct,win_prob,sigma_i,sigma_source,incumbency_shift
82,41.5,0.0,0.03869014172291746,shrunk_2pt,0.0
85,41.5,0.0,0.04790997476350241,shrunk_2pt,0.0
84,41.5,0.0,0.03936930703783644,shrunk_2pt,0.0
18,42.0,1.0,0.046243258224299005,prior_only,0.0
20,42.0,1.0,0.046243258224299005,prior_only,0.0
22,42.0,1.0,0.046243258224299005,prior_only,0.0
25,42.0,1.0,0.04549751675684551,shrunk_2pt,0.0
3,42.0,1.0,0.046243258224299005,prior_only,0.0
1,42.0,1.0,0.046243258224299005,prior_only,0.0
13,42.0,1.0,0.02327909372548424,shrunk_4pt,0.0
2,42.0,1.0,0.046243258224299005,prior_only,0.0
21,42.0,1.0,0.0444732248868849,shrunk_2pt,0.0
38,42.0,1.0,0.046243258224299005,prior_only,0.0
33,42.0,1.0,0.046243258224299005,prior_only,0.0
24,42.0,1.0,0.03931674119938526,shrunk_2pt,0.0
7,42.0,0.9998,0.046243258224299005,prior_only,0.0
26,42.0,0.9998,0.046243258224299005,prior_only,0.0
9,42.0,0.9994,0.046243258224299005,prior_only,0.0
42,42.0,0.9977,0.046243258224299005,prior_only,0.0
8,42.0,0.9964,0.04149445919805966,shrunk_2pt,0.0
43,42.0,0.9557,0.04141207229588298,shrunk_2pt,0.0
41,42.0,0.8879,0.046243258224299005,prior_only,0.0
5,42.0,0.854,0.046243258224299005,prior_only,0.0
16,42.0,0.8402,0.046243258224299005,prior_only,0.0
6,42.0,0.8484,0.03987976648050284,shrunk_2pt,0.0
4,42.0,0.795,0.03929644674190579,shrunk_2pt,0.0
11,42.0,0.6499,0.041946262280916496,shrunk_2pt,0.0
58,42.0,0.6242,0.046243258224299005,prior_only,0.0
19,42.0,0.6298,0.04316857399821586,shrunk_2pt,0.0
28,42.0,0.6329,0.028988076157790803,shrunk_4pt,0.0
34,42.0,0.5279,0.03876463319237573,shrunk_2pt,0.0
27,42.0,0.5119,0.03869462782660454,shrunk_2pt,0.0
53,42.0,0.4767,0.04192091505846978,shrunk_2pt,0.0
15,42.0,0.4417,0.046243258224299005,prior_only,0.0
14,42.0,0.28,0.03990244416748726,shrunk_2pt,0.0
10,42.0,0.2564,0.04229098671158475,shrunk_2pt,0.0
31,42.0,0.2582,0.046243258224299005,prior_only,0.0
23,42.0,0.1603,0.03905647775388147,shrunk_2pt,0.0
36,42.0,0.1446,0.03932308887968287,shrunk_2pt,0.0
49,42.0,0.1363,0.03895325034755685,shrunk_2pt,0.0
52,42.0,0.1194,0.038724948948183756,shrunk_2pt,0.0
35,42.0,0.1572,0.046243258224299005,prior_only,0.0
64,42.0,0.0699,0.043845325043149565,shrunk_2pt,0.0
17,42.0,0.0715,0.046243258224299005,prior_only,0.0
60,42.0,0.0601,0.046243258224299005,prior_only,0.0
39,42.0,0.036,0.04047903264826666,shrunk_2pt,0.0
72,42.0,0.0457,0.04831661441098122,shrunk_2pt,0.0
32,42.0,0.0221,0.0408933423742721,shrunk_2pt,0.0
44,42.0,0.0309,0.046243258224299005,prior_only,0.0
75,42.0,0.0112,0.03869207221304435,shrunk_2pt,0.0
37,42.0,0.0166,0.046243258224299005,prior_only,0.0
29,42.0,0.0131,0.046243258224299005,prior_only,0.0
89,42.0,0.0026,0.040486447600887855,shrunk_2pt,0.0
